Recency,Frequency,Monetary,Member_number,Category,Cluster,Customer_Segment,cluster
3636,4,41.15,1147,Frozen & Processed Food,0,Loyal Frozen & Processed Food Buyers,0
3755,5,21.1,1148,Fresh Food,0,Loyal Fresh Food Buyers,0
3568,7,73.6,1149,Dairy,3,New Dairy Customers,0
3744,7,45.6,1150,Fresh Food,0,Loyal Fresh Food Buyers,0
3401,24,241.86,1151,Fresh Food,2,Lost Fresh Food Customers,0
3458,11,69.9,1152,Dairy,1,Regular Dairy Customers,0
3498,20,128.25,1153,Fresh Food,2,Lost Fresh Food Customers,0
3514,6,37.75,1154,Fresh Food,3,New Fresh Food Customers,0
3410,10,74.75,1155,Dairy,1,Regular Dairy Customers,0
3458,6,39.1,1156,Fresh Food,3,New Fresh Food Customers,0
3428,10,101.67,1157,Dairy,1,Regular Dairy Customers,0
3701,5,27.3,1158,Dairy,0,Loyal Dairy Buyers,0
3469,27,361.45,1159,Fresh Food,2,Lost Fresh Food Customers,0
3586,15,127.91,1160,Fresh Food,4,Occasional Fresh Food Buyers,0
3551,8,58.76,1161,Dairy,3,New Dairy Customers,0
3460,14,103.4,1162,Beverages,1,Regular Beverages Customers,0
3920,2,13.8,1163,Fresh Food,0,Loyal Fresh Food Buyers,0
3885,2,22.8,1164,Dairy,0,Loyal Dairy Buyers,0
3954,4,33.0,1165,Fresh Food,0,Loyal Fresh Food Buyers,0
3459,10,94.9,1166,Fresh Food,1,Regular Fresh Food Customers,0
3600,14,117.65,1167,Fresh Food,4,Occasional Fresh Food Buyers,0
3471,13,169.45,1168,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3564,2,64.2,1169,Beverages,3,New Beverages Customers,0
3472,12,108.6,1170,Fresh Food,1,Regular Fresh Food Customers,0
3676,8,54.3,1171,Beverages,0,Loyal Beverages Buyers,0
3644,8,74.2,1173,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3531,8,95.8,1174,Fresh Food,4,Occasional Fresh Food Buyers,0
3466,14,156.4,1175,Fresh Food,1,Regular Fresh Food Customers,0
3474,18,271.95,1176,Fresh Food,2,Lost Fresh Food Customers,0
3409,13,74.3,1177,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3441,12,88.4,1178,Fresh Food,1,Regular Fresh Food Customers,0
3870,2,5.3,1179,Fresh Food,0,Loyal Fresh Food Buyers,0
3723,4,30.6,1180,Dairy,0,Loyal Dairy Buyers,0
3412,14,128.8,1181,Fresh Food,1,Regular Fresh Food Customers,0
3421,2,24.2,1182,Dairy,3,New Dairy Customers,0
3406,8,91.05,1183,Fresh Food,1,Regular Fresh Food Customers,0
3559,13,80.6,1184,Fresh Food,4,Occasional Fresh Food Buyers,0
3635,6,19.2,1185,Fresh Food,0,Loyal Fresh Food Buyers,0
3526,6,28.2,1186,Dairy,3,New Dairy Customers,0
3390,6,83.42,1187,Fresh Food,3,New Fresh Food Customers,0
3380,19,170.95,1188,Beverages,2,Lost Beverages Customers,0
3624,10,82.5,1189,Fresh Food,4,Occasional Fresh Food Buyers,0
3674,13,108.1,1190,Fresh Food,4,Occasional Fresh Food Buyers,0
3571,5,27.7,1191,Fresh Food,3,New Fresh Food Customers,0
3592,4,45.66,1192,Bakery & Sweets,3,New Bakery & Sweets Customers,0
3386,22,210.51,1193,Fresh Food,2,Lost Fresh Food Customers,0
3594,17,186.6,1194,Beverages,2,Lost Beverages Customers,0
3405,15,109.2,1195,Dairy,1,Regular Dairy Customers,0
3616,14,155.7,1196,Fresh Food,4,Occasional Fresh Food Buyers,0
3502,9,86.05,1197,Fresh Food,1,Regular Fresh Food Customers,0
3384,20,164.2,1198,Fresh Food,2,Lost Fresh Food Customers,0
3444,13,113.35,1199,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3708,13,104.36,1200,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3702,9,89.6,1201,Beverages,4,Occasional Beverages Buyers,0
3402,12,100.9,1202,Dairy,1,Regular Dairy Customers,0
3407,12,81.54,1204,Fresh Food,1,Regular Fresh Food Customers,0
3451,9,78.9,1205,Dairy,1,Regular Dairy Customers,0
3586,12,87.82,1206,Fresh Food,4,Occasional Fresh Food Buyers,0
3484,10,74.9,1207,Dairy,1,Regular Dairy Customers,0
3654,15,141.8,1208,Fresh Food,4,Occasional Fresh Food Buyers,0
3607,8,98.56,1209,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3591,11,68.15,1211,Dairy,4,Occasional Dairy Buyers,0
3666,2,4.4,1212,Fresh Food,0,Loyal Fresh Food Buyers,0
3593,4,55.1,1213,Fresh Food,3,New Fresh Food Customers,0
3454,8,73.4,1214,Fresh Food,3,New Fresh Food Customers,0
3568,16,205.0,1215,Fresh Food,2,Lost Fresh Food Customers,0
3461,20,131.17,1216,Fresh Food,2,Lost Fresh Food Customers,0
3540,6,34.3,1217,Dairy,3,New Dairy Customers,0
3718,12,135.7,1218,Fresh Food,4,Occasional Fresh Food Buyers,0
3390,12,105.85,1219,Beverages,1,Regular Beverages Customers,0
3509,9,85.35,1220,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3607,8,64.9,1221,Beverages,4,Occasional Beverages Buyers,0
3815,7,33.3,1222,Beverages,0,Loyal Beverages Buyers,0
3940,6,26.15,1223,Fresh Food,0,Loyal Fresh Food Buyers,0
3439,8,62.75,1224,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3562,13,65.5,1225,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3434,10,108.95,1226,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3559,2,39.9,1227,Dairy,3,New Dairy Customers,0
3730,8,59.2,1228,Beverages,0,Loyal Beverages Buyers,0
3474,14,93.85,1229,Fresh Food,1,Regular Fresh Food Customers,0
3469,9,86.3,1230,Beverages,1,Regular Beverages Customers,0
3427,14,151.6,1231,Fresh Food,1,Regular Fresh Food Customers,0
3479,6,81.9,1232,Beverages,3,New Beverages Customers,0
3469,22,222.4,1233,Dairy,2,Lost Dairy Customers,0
3418,30,240.2,1234,Beverages,2,Lost Beverages Customers,0
3494,13,142.0,1235,Dairy,1,Regular Dairy Customers,0
3411,14,89.0,1236,Specialty & Seasonal,1,Regular Specialty & Seasonal Customers,0
3737,11,79.34,1237,Fresh Food,4,Occasional Fresh Food Buyers,0
3528,4,33.32,1238,Fresh Food,3,New Fresh Food Customers,0
3731,7,58.7,1239,Dairy,0,Loyal Dairy Buyers,0
3724,7,89.46,1240,Fresh Food,0,Loyal Fresh Food Buyers,0
3520,6,42.84,1241,Pantry Staples,3,New Pantry Staples Customers,0
3778,8,90.6,1242,Fresh Food,0,Loyal Fresh Food Buyers,0
3731,4,35.5,1243,Beverages,0,Loyal Beverages Buyers,0
3442,2,53.7,1244,Bakery & Sweets,3,New Bakery & Sweets Customers,0
3611,3,57.6,1245,Fresh Food,3,New Fresh Food Customers,0
3724,7,38.42,1246,Dairy,0,Loyal Dairy Buyers,0
3665,13,131.4,1247,Fresh Food,4,Occasional Fresh Food Buyers,0
3392,4,26.2,1248,Fresh Food,3,New Fresh Food Customers,0
3404,6,99.9,1249,Beverages,1,Regular Beverages Customers,0
3392,8,84.2,1250,Fresh Food,1,Regular Fresh Food Customers,0
3591,12,83.12,1251,Beverages,4,Occasional Beverages Buyers,0
3434,16,137.84,1252,Fresh Food,1,Regular Fresh Food Customers,0
3489,11,94.2,1253,Dairy,1,Regular Dairy Customers,0
3479,12,97.85,1254,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3658,2,12.4,1255,Beverages,0,Loyal Beverages Buyers,0
3389,19,140.56,1256,Fresh Food,2,Lost Fresh Food Customers,0
3476,22,202.0,1257,Dairy,2,Lost Dairy Customers,0
3380,10,47.9,1258,Beverages,1,Regular Beverages Customers,0
3944,2,5.35,1259,Fresh Food,0,Loyal Fresh Food Buyers,0
3682,2,5.92,1260,Fresh Food,0,Loyal Fresh Food Buyers,0
3463,20,166.8,1261,Dairy,2,Lost Dairy Customers,0
3428,7,69.07,1262,Fresh Food,3,New Fresh Food Customers,0
3480,10,107.3,1263,Fresh Food,1,Regular Fresh Food Customers,0
3384,9,39.35,1264,Fresh Food,3,New Fresh Food Customers,0
4078,2,6.0,1265,Fresh Food,0,Loyal Fresh Food Buyers,0
3896,6,122.6,1266,Fresh Food,0,Loyal Fresh Food Buyers,0
3560,2,6.4,1267,Dairy,3,New Dairy Customers,0
3471,7,102.34,1268,Pantry Staples,1,Regular Pantry Staples Customers,0
3460,13,93.54,1269,Fresh Food,1,Regular Fresh Food Customers,0
3562,11,121.62,1270,Fresh Food,1,Regular Fresh Food Customers,0
3379,12,64.07,1272,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3659,16,137.68,1273,Dairy,4,Occasional Dairy Buyers,0
3437,17,117.2,1274,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3607,9,74.5,1275,Fresh Food,4,Occasional Fresh Food Buyers,0
3693,5,38.54,1276,Dairy,0,Loyal Dairy Buyers,0
3413,10,67.3,1277,Dairy,1,Regular Dairy Customers,0
3388,14,128.42,1278,Fresh Food,1,Regular Fresh Food Customers,0
3583,6,83.16,1279,Fresh Food,0,Loyal Fresh Food Buyers,0
3726,6,33.7,1280,Dairy,0,Loyal Dairy Buyers,0
3612,6,82.3,1281,Fresh Food,0,Loyal Fresh Food Buyers,0
3765,10,110.9,1282,Beverages,0,Loyal Beverages Buyers,0
3575,13,121.2,1283,Dairy,4,Occasional Dairy Buyers,0
4061,4,24.8,1284,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3746,6,52.3,1285,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3512,6,41.6,1286,Fresh Food,3,New Fresh Food Customers,0
3636,15,110.58,1287,Fresh Food,4,Occasional Fresh Food Buyers,0
3409,9,57.3,1288,Dairy,1,Regular Dairy Customers,0
3400,10,78.0,1289,Fresh Food,1,Regular Fresh Food Customers,0
3689,7,69.7,1290,Fresh Food,0,Loyal Fresh Food Buyers,0
3546,4,30.3,1291,Fresh Food,3,New Fresh Food Customers,0
3798,4,17.4,1292,Dairy,0,Loyal Dairy Buyers,0
3410,13,82.22,1293,Dairy,1,Regular Dairy Customers,0
3393,13,97.8,1294,Fresh Food,1,Regular Fresh Food Customers,0
4046,5,27.0,1295,Fresh Food,0,Loyal Fresh Food Buyers,0
3538,5,30.2,1296,Fresh Food,3,New Fresh Food Customers,0
3462,11,120.84,1297,Fresh Food,1,Regular Fresh Food Customers,0
3515,13,105.8,1298,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3400,11,121.2,1299,Dairy,1,Regular Dairy Customers,0
3967,10,110.0,1300,Fresh Food,0,Loyal Fresh Food Buyers,0
3410,18,134.4,1301,Fresh Food,2,Lost Fresh Food Customers,0
3751,10,115.02,1302,Fresh Food,0,Loyal Fresh Food Buyers,0
3754,4,26.3,1303,Dairy,0,Loyal Dairy Buyers,0
3592,9,37.1,1304,Fresh Food,3,New Fresh Food Customers,0
3391,25,230.0,1305,Fresh Food,2,Lost Fresh Food Customers,0
3391,10,51.5,1306,Dairy,1,Regular Dairy Customers,0
3482,15,191.9,1307,Bakery & Sweets,2,Lost Bakery & Sweets Customers,0
3715,4,33.3,1308,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3397,18,158.91,1309,Dairy,2,Lost Dairy Customers,0
3544,16,116.32,1310,Snacks,4,Occasional Snacks Buyers,0
3957,4,10.5,1311,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3736,6,62.64,1312,Fresh Food,0,Loyal Fresh Food Buyers,0
3617,6,53.09,1313,Fresh Food,0,Loyal Fresh Food Buyers,0
3620,9,50.7,1314,Beverages,0,Loyal Beverages Buyers,0
3875,6,15.3,1315,Fresh Food,0,Loyal Fresh Food Buyers,0
3537,12,89.7,1316,Dairy,1,Regular Dairy Customers,0
3499,14,129.0,1317,Fresh Food,1,Regular Fresh Food Customers,0
3476,19,149.35,1318,Bakery & Sweets,2,Lost Bakery & Sweets Customers,0
3393,9,111.16,1319,Fresh Food,1,Regular Fresh Food Customers,0
3502,13,101.62,1320,Fresh Food,1,Regular Fresh Food Customers,0
3693,6,73.3,1321,Beverages,0,Loyal Beverages Buyers,0
3466,8,57.5,1322,Bakery & Sweets,3,New Bakery & Sweets Customers,0
3415,14,105.75,1323,Dairy,1,Regular Dairy Customers,0
3444,11,156.6,1324,Dairy,1,Regular Dairy Customers,0
3491,15,106.3,1325,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3570,17,158.6,1326,Fresh Food,4,Occasional Fresh Food Buyers,0
3512,13,71.5,1327,Fresh Food,1,Regular Fresh Food Customers,0
3427,8,53.8,1328,Fresh Food,3,New Fresh Food Customers,0
3452,8,143.5,1329,Fresh Food,1,Regular Fresh Food Customers,0
3487,19,178.26,1330,Dairy,2,Lost Dairy Customers,0
3500,6,56.6,1331,Fresh Food,3,New Fresh Food Customers,0
3496,6,19.6,1332,Dairy,3,New Dairy Customers,0
3873,2,10.1,1333,Fresh Food,0,Loyal Fresh Food Buyers,0
3568,14,154.3,1334,Fresh Food,4,Occasional Fresh Food Buyers,0
3399,11,138.6,1335,Fresh Food,1,Regular Fresh Food Customers,0
3594,8,93.0,1336,Fresh Food,4,Occasional Fresh Food Buyers,0
3636,5,35.0,1337,Household & Hygiene,0,Loyal Household & Hygiene Buyers,0
3637,4,49.0,1338,Dairy,0,Loyal Dairy Buyers,0
3480,6,78.5,1339,Fresh Food,3,New Fresh Food Customers,0
3460,16,177.75,1340,Dairy,2,Lost Dairy Customers,0
3605,19,165.02,1341,Fresh Food,4,Occasional Fresh Food Buyers,0
3464,12,147.29,1342,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3740,6,32.6,1343,Fresh Food,0,Loyal Fresh Food Buyers,0
3403,12,83.0,1344,Beverages,1,Regular Beverages Customers,0
4037,2,8.1,1345,Fresh Food,0,Loyal Fresh Food Buyers,0
3784,8,60.62,1346,Fresh Food,0,Loyal Fresh Food Buyers,0
3425,16,166.19,1347,Fresh Food,2,Lost Fresh Food Customers,0
3509,14,51.56,1348,Fresh Food,1,Regular Fresh Food Customers,0
3403,15,100.4,1349,Dairy,1,Regular Dairy Customers,0
3393,7,50.8,1350,Dairy,3,New Dairy Customers,0
3635,14,98.1,1351,Fresh Food,4,Occasional Fresh Food Buyers,0
3416,29,221.0,1352,Fresh Food,2,Lost Fresh Food Customers,0
3786,5,107.6,1353,Fresh Food,0,Loyal Fresh Food Buyers,0
3874,11,79.85,1354,Beverages,0,Loyal Beverages Buyers,0
3465,6,51.94,1355,Dairy,3,New Dairy Customers,0
3734,7,26.2,1356,Dairy,0,Loyal Dairy Buyers,0
3699,11,139.3,1357,Bakery & Sweets,4,Occasional Bakery & Sweets Buyers,0
3661,12,154.15,1358,Dairy,4,Occasional Dairy Buyers,0
3389,10,111.3,1359,Fresh Food,1,Regular Fresh Food Customers,0
3493,10,66.83,1360,Fresh Food,1,Regular Fresh Food Customers,0
3407,13,142.1,1361,Dairy,1,Regular Dairy Customers,0
3454,11,81.3,1362,Dairy,1,Regular Dairy Customers,0
3401,17,110.96,1363,Dairy,1,Regular Dairy Customers,0
3673,10,76.3,1364,Fresh Food,4,Occasional Fresh Food Buyers,0
3490,21,189.93,1365,Fresh Food,2,Lost Fresh Food Customers,0
3417,11,78.0,1366,Fresh Food,1,Regular Fresh Food Customers,0
3996,6,48.4,1367,Dairy,0,Loyal Dairy Buyers,0
3670,6,69.7,1368,Fresh Food,0,Loyal Fresh Food Buyers,0
3395,14,86.65,1369,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3952,2,21.0,1370,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3522,14,133.9,1371,Fresh Food,1,Regular Fresh Food Customers,0
3433,9,81.6,1372,Dairy,1,Regular Dairy Customers,0
3800,2,11.4,1373,Dairy,0,Loyal Dairy Buyers,0
3508,9,93.8,1374,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3472,9,64.5,1375,Fresh Food,3,New Fresh Food Customers,0
3416,21,150.3,1376,Fresh Food,2,Lost Fresh Food Customers,0
3427,10,60.0,1377,Dairy,1,Regular Dairy Customers,0
3895,4,34.8,1378,Fresh Food,0,Loyal Fresh Food Buyers,0
3836,6,68.1,1379,Fresh Food,0,Loyal Fresh Food Buyers,0
3691,3,7.5,1380,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3491,17,203.5,1381,Beverages,2,Lost Beverages Customers,0
3565,9,46.15,1382,Fresh Food,3,New Fresh Food Customers,0
3509,17,85.45,1383,Fresh Food,1,Regular Fresh Food Customers,0
3562,4,33.96,1384,Beverages,3,New Beverages Customers,0
3722,12,98.4,1385,Fresh Food,4,Occasional Fresh Food Buyers,0
3442,12,77.57,1386,Fresh Food,1,Regular Fresh Food Customers,0
3396,14,137.0,1387,Bakery & Sweets,1,Regular Bakery & Sweets Customers,0
3381,30,316.81,1388,Bakery & Sweets,2,Lost Bakery & Sweets Customers,0
3481,7,86.5,1389,Fresh Food,3,New Fresh Food Customers,0
3470,12,157.05,1390,Dairy,1,Regular Dairy Customers,0
3414,11,86.6,1391,Dairy,1,Regular Dairy Customers,0
3423,15,134.7,1392,Dairy,1,Regular Dairy Customers,0
3691,4,51.6,1393,Bakery & Sweets,0,Loyal Bakery & Sweets Buyers,0
3438,10,92.34,1394,Beverages,1,Regular Beverages Customers,0
3572,25,223.29,1395,Fresh Food,2,Lost Fresh Food Customers,0
3558,15,73.92,1396,Fresh Food,1,Regular Fresh Food Customers,0
